Site,lat,lon,type
Neah Bay,48.38571667,-124.6312833,2015-22
Makah Bay,48.31768333,-124.6717833,
Anderson Pt.,48.30645,-124.6717833,2015 only
Pt. of the Arches,48.253902,-124.717141,2015 only
Cape Alava,48.154136,-124.755714,2015-22
Cape Johnson,47.97308333,-124.68395,2015-22
Rock #305,47.95043333,-124.6700167,2015 only
Teahwhit Head,47.86933333,-124.6054,2015 only
Cape Flattery,48.3884,-124.7230333,
Tatoosh Is.,48.39046667,-124.7230333,2015-22
Chibahdehl,48.39305,-124.6786833,2015 only
Umatilla Reef,48.18408333,-124.7848833,
Spike Rock,48.253902,-124.717141,
Perkins Reef,47.77166667,-124.5033333,
Destruction Is. East,47.68153333,-124.4742,
Destruction Is.,47.67156667,-124.4858,2015-22
Kydaka Pt.,48.289183,-124.361693,
Sail Rock,48.359833,-124.54583,
